Mar 12, 2021 120.40 121.17 119.16 121.03 121.03 87,963,400
Mar 11, 2021 122.54 123.21 121.26 121.96 121.96 102,753,600
Mar 10, 2021 121.69 122.17 119.45 119.98 119.98 111,760,400
Mar 09, 2021 119.03 122.06 118.79 121.09 121.09 129,159,600
Mar 08, 2021 120.93 121.00 116.21 116.36 116.36 153,918,600
Mar 05, 2021 120.98 121.94 117.57 121.42 121.42 153,590,400
Mar 04, 2021 121.75 123.60 118.62 120.13 120.13 177,275,300
Mar 03, 2021 124.81 125.71 121.84 122.06 122.06 112,430,400
Mar 02, 2021 128.41 128.72 125.01 125.12 125.12 102,015,300
Mar 01, 2021 123.75 127.93 122.79 127.79 127.79 115,998,300
Feb 26, 2021 122.59 124.85 121.20 121.26 121.26 164,320,000
Feb 25, 2021 124.68 126.46 120.54 120.99 120.99 148,199,500
Feb 24, 2021 124.94 125.56 122.23 125.35 125.35 111,039,900
Feb 23, 2021 123.76 126.71 118.39 125.86 125.86 158,273,000
Feb 22, 2021 128.01 129.72 125.60 126.00 126.00 103,916,400
Feb 19, 2021 130.24 130.71 128.80 129.87 129.87 87,668,800
Feb 18, 2021 129.20 130.00 127.41 129.71 129.71 96,856,700
Feb 17, 2021 131.25 132.22 129.47 130.84 130.84 97,918,500
Feb 16, 2021 135.49 136.01 132.79 133.19 133.19 80,576,300
Feb 12, 2021 134.35 135.53 133.69 135.37 135.37 60,029,300
Feb 11, 2021 135.90 136.39 133.77 135.13 135.13 64,154,400
Feb 10, 2021 136.48 136.99 134.40 135.39 135.39 73,046,600
Feb 09, 2021 136.62 137.88 135.85 136.01 136.01 76,774,200
Feb 08, 2021 136.03 136.96 134.92 136.91 136.91 71,297,200
Feb 05, 2021 137.35 137.42 135.86 136.76 136.76 75,524,000
Feb 05, 2021 0.205 Dividend
Feb 04, 2021 136.30 137.40 134.59 137.39 137.18 84,183,100
Feb 03, 2021 135.76 135.77 133.61 133.94 133.74 89,880,900
Feb 02, 2021 135.73 136.31 134.61 134.99 134.79 83,305,400
Feb 01, 2021 133.75 135.38 130.93 134.14 133.94 106,239,800
Jan 29, 2021 135.83 136.74 130.21 131.96 131.76 177,180,600
Jan 28, 2021 139.52 141.99 136.70 137.09 136.89 142,621,100
Jan 27, 2021 143.43 144.30 140.41 142.06 141.85 140,843,800
